Id,Name,Lat,Lon,Type,Icon,City,District
193882,築間進去的巷子,24.950371,121.2431,藥局,💊,桃園市,普慶里
193883,派出所後門巷子,24.163351,120.69446,電器行,🔌,臺中市,北屯區
193884,雷令宮,24.257326,120.533209,文具店,✏️,臺中市,梧棲區
193885,明秀公園,24.204881,120.572523,公園,🌳,臺中市,沙鹿區
193886,員水路郵局,23.950784,120.597792,郵局,📮,彰化縣,崙雅里
193887,郵局,23.951073,120.576726,郵局,📮,彰化縣,民生里
193888,八德前程街,24.971422,121.300375,超市,🛒,桃園市,大正里
193889,思源公園兒童遊樂場,24.973628,121.298551,公園,🌳,桃園市,大福里
193890,八方雲集自強店,23.034868,120.26044,餐廳,🍴,臺南市,龍埔里
193891,7-11 孝威店,24.681743,121.809692,便利店,🏪,宜蘭縣,孝威村
193892,大福觀景平台,24.802428,121.819129,海灘,🏖️,宜蘭縣,大福村
193893,中央大學,24.966975,121.185929,大學&學院,🎓,桃園市,雙連里
193894,威天宮旁道路,25.055833,121.335676,森林,🌲,桃園市,大坑里
193895,和窯文創園區,24.850771,121.170526,麵包店,🥐,桃園市,三和里
193896,虎山藝術館,23.950671,120.698696,公園,🌳,南投縣,光榮里
193897,春小樹咖啡店,23.952285,121.550284,咖啡杯,☕,花蓮縣,南華村
193898,民生人行地下道道門口,24.085901,120.540725,文具店,✏️,彰化縣,忠孝里
193899,7-Eleven,25.000215,121.489793,橋樑,🌉,新北市,中和區
193900,千塘行旅,24.934444,121.281593,飯店,🏨,桃園市,福興里
193901,新港路,24.153252,120.486425,水邊,🌊,彰化縣,新港村
193902,埤墘一路,24.142579,120.492336,森林,🌲,彰化縣,埤墘村
193903,水溝邊,24.141954,120.48829,公車站,🚌,彰化縣,新港村
193904,和港路,24.135647,120.488823,水邊,🌊,彰化縣,好修里
193905,必勝客,24.138897,120.488523,義式餐廳,🍝,彰化縣,新港村
193906,燦坤3C-新和美店,24.110972,120.495528,電器行,🔌,彰化縣,和西里
193907,佳佳樂食品五金百貨,24.105932,120.499618,五金行,🔧,彰化縣,山犁里
193908,富田食品廠股份公司對面，崙雅里,23.94936,120.595678,服裝店,👕,彰化縣,崙雅里
193909,全家聚興店,24.203976,120.718873,便利店,🏪,臺中市,潭子區
193910,麥味登 豐原圓環店,24.248384,120.709397,五金行,🔧,臺中市,豐原區
193911,510彰化縣員林市出水里出水巷50號二百崁步道附近,23.942868,120.621672,森林,🌲,彰化縣,出水里
193912,台中大雅交流道同志巷,24.205852,120.658797,森林,🌲,臺中市,西屯區
193914,公園旁,22.766962,121.147055,公園,🌳,臺東縣,新生里
193916,宜蘭冬山鄉喜互惠超市純點,24.655584,121.761125,超市,🛒,宜蘭縣,順安村
193917,華祥路,24.656164,121.760332,便利店,🏪,宜蘭縣,順安村
193918,宜蘭冬山鄉清溝公園純點,24.662894,121.768014,公園,🌳,宜蘭縣,清溝村
193919,乙春堂篸藥行,25.042128,121.135457,藥局,💊,桃園市,草漯里
193920,宜蘭群英村冬山路髮圈純點,24.667532,121.769199,服裝店,👕,宜蘭縣,群英村
193921,花蓮華西路機場純點,24.016299,121.623263,機場,✈️,花蓮縣,民心里
193922,點一碗銷魂鴨肉飯,24.965804,121.232784,超市,🛒,桃園市,幸福里
193923,Marco studio,25.064846,121.628635,公車站,🚌,新北市,汐止區
193924,拉亞漢堡,24.351871,120.623199,餐廳,🍴,臺中市,大甲區
193925,東西七路99巷,24.368349,120.629424,公車站,🚌,臺中市,大甲區
193926,世祥汽材製造廠,23.679571,120.484593,森林,🌲,雲林縣,北銘里
193927,覓覓別墅,24.892268,121.044148,森林,🌲,新竹縣,湖口鄉
193928,自強路,24.68322,121.796405,服裝店,👕,宜蘭縣,五結村
193929,中興文化創意園區,24.693426,121.77126,便利店,🏪,宜蘭縣,中興村
193930,景美博愛銅像,24.990036,121.537542,公園,🌳,臺北市,文山區
193931,全聯,24.037841,120.436042,超市,🛒,彰化縣,福興鄉
193932,秀水湯包,24.050218,120.511289,拉麵店,🍜,彰化縣,安溪村
193933,全聯文山羅斯福,24.997742,121.537644,超市,🛒,臺北市,文山區
193934,宜蘭連大現代生活廣場大樓,24.749373,121.764219,公車站,🚌,宜蘭縣,新東里
193935,頤園行館,24.054317,120.436742,公園,🌳,彰化縣,景福里
193936,雲鑽社區A棟,24.919634,121.209126,超市,🛒,桃園市,平安里
193937,廣泰藥局,24.962889,121.302035,藥局,💊,桃園市,大義里
193938,中強光電股份有限公司竹科廠,24.769129,121.028459,橋樑,🌉,新竹縣,東區
193939,水田,22.89655,120.204042,水邊,🌊,高雄市,湖內區
193940,勝二美術,24.045293,120.45621,美術館,🖼️,彰化縣,番婆村
193942,理想健身房,24.04717,120.449016,森林,🌲,彰化縣,橋頭村
193943,李科勇圖書館純點,24.749677,121.760429,圖書館,📚,宜蘭縣,東村里
193944,榮星花園籃球場,25.063406,121.539534,公園,🌳,臺北市,中山區
193945,仁慈公園旁,22.671941,120.357642,公園,🌳,高雄市,仁武區
193946,台北松山區民族東路678號,25.064485,121.546814,機場,✈️,臺北市,松山區
193947,台北市松山區民族東路668巷3號,25.064551,121.546121,公園,🌳,臺北市,松山區
193948,眼鏡叔叔無煙燒烤,24.915639,121.248692,便利店,🏪,桃園市,華安里
193949,姜䒕鴨薑母鴨專賣店,23.190285,120.254266,甜點店,🍰,臺南市,南勢里
193950,森林純點,23.154042,120.18371,森林,🌲,臺南市,鎮山里
193951,髮圈純點,23.17751,120.221479,服裝店,👕,臺南市,麻口里
193952,遠雄加值園區訪客室外機車停車場,25.093351,121.255531,公車站,🚌,桃園市,海口里
193953,平鎮郵局,24.945645,121.209231,郵局,📮,桃園市,義民里
193954,水門轉運站,22.709605,120.636064,公車站,🚌,屏東縣,水門村
193955,7-11高雄鑫巨蛋,22.672813,120.300361,藥局,💊,高雄市,左營區
193957,衣淨坊自助洗衣,23.46039,120.285768,餐廳,🍴,嘉義縣,大葛里
